day_id,name,city,country,theme,ideal_for,budget_level,difficulty_level,duration_hours,season_best,weather_dependent,description
paris_sacred_churches,Sacred Paris Churches & Chapels,Paris,France,"[""spirituality"", ""architecture"", ""history""]","[""couples"", ""families"", ""solo""]",low,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Explore Paris's most beautiful sacred spaces including Sainte-Chapelle's stunning stained glass, Notre-Dame area, Saint-Sulpice, and Saint-Germain-des-Prés"
paris_left_bank_literary,Left Bank Literary Quarter,Paris,France,"[""literature"", ""history"", ""intellectual""]","[""couples"", ""solo"", ""students""]",low,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Discover literary Paris with Shakespeare & Company bookstore, Panthéon, Latin Quarter walks, Sorbonne area, and Luxembourg Gardens"
paris_impressionist_deep,Impressionist Paris Deep Dive,Paris,France,"[""art"", ""impressionism"", ""nature""]","[""art_lovers"", ""couples"", ""families""]",high,moderate,10,"[""spring"", ""summer"", ""fall""]",false,"Complete impressionist experience: Musée d'Orsay, Musée de l'Orangerie, Musée Marmottan Monet, and Giverny gardens day trip"
paris_versailles_royal,Historic Royal Versailles,Paris,France,"[""royalty"", ""history"", ""luxury""]","[""couples"", ""families"", ""history_buffs""]",high,moderate,9,"[""spring"", ""summer"", ""fall""]",false,"Full Versailles experience: Palace tour, Hall of Mirrors, Marie Antoinette's Estate, and magnificent gardens with fountains"
paris_hidden_museums,Hidden Paris Museums,Paris,France,"[""art"", ""sculpture"", ""hidden_gems""]","[""art_lovers"", ""couples"", ""solo""]",medium,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Discover lesser-known treasures: Musée Rodin & gardens, Musée Picasso in Le Marais, Musée Carnavalet, and medieval Musée Cluny"
paris_bohemian_montmartre,Bohemian Montmartre,Paris,France,"[""bohemian"", ""art"", ""local_culture""]","[""couples"", ""friends"", ""solo""]",medium,moderate,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Artistic Montmartre with Sacré-Cœur, Place du Tertre artists, Moulin Rouge area, vineyards, and Amélie filming locations"
paris_trendy_marais,Trendy Le Marais,Paris,France,"[""trendy"", ""diversity"", ""food""]","[""couples"", ""friends"", ""lgbtq""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Explore trendy Marais: Jewish quarter, Place des Vosges, vintage shopping, amazing falafel, and LGBTQ+ friendly venues"
paris_chic_saint_germain,Chic Saint-Germain,Paris,France,"[""luxury"", ""shopping"", ""cafes""]","[""couples"", ""luxury_travelers""]",high,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Elegant Saint-Germain: iconic cafés de Flore & Les Deux Magots, luxury shopping, art galleries, and Le Bon Marché"
paris_alternative_belleville,Alternative Belleville & Canal,Paris,France,"[""alternative"", ""street_art"", ""local""]","[""young_travelers"", ""friends"", ""solo""]",low,easy,7,"[""spring"", ""summer"", ""fall""]",false,"Alternative Paris: Belleville street art, Canal Saint-Martin walks, local markets, hip bars, and Parc des Buttes-Chaumont"
paris_night_experience,Paris by Night,Paris,France,"[""nightlife"", ""romance"", ""entertainment""]","[""couples"", ""friends""]",high,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Magical Paris nights: Eiffel Tower illumination, Seine night cruise, Moulin Rouge show, and late-night bistros"
paris_culinary_tour,Culinary Paris Food Tour,Paris,France,"[""food"", ""culinary"", ""hands_on""]","[""food_lovers"", ""couples"", ""friends""]",high,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Gastronomic journey: traditional markets, cheese & wine tasting, cooking classes, and pastry workshops"
paris_underground_mystery,Paris Catacombs & Underground,Paris,France,"[""underground"", ""mystery"", ""unique""]","[""adventurous"", ""couples"", ""friends""]",medium,moderate,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Mysterious underground Paris: famous Catacombs, Sewers museum, underground tours, and hidden city stories"
paris_family_fun,Family Fun Paris,Paris,France,"[""family"", ""kids"", ""theme_parks""]","[""families"", ""kids""]",high,moderate,10,"[""spring"", ""summer"", ""fall""]",true,"Perfect family day: Disneyland Paris OR Jardin d'Acclimatation, Parc de la Villette, and interactive Cité des Sciences"
paris_parks_gardens,Paris Parks & Gardens,Paris,France,"[""nature"", ""peaceful"", ""outdoor""]","[""families"", ""couples"", ""solo""]",low,easy,7,"[""spring"", ""summer"", ""fall""]",true,"Green Paris: Tuileries Garden, Luxembourg Gardens, Bois de Boulogne, and historic Père Lachaise Cemetery"
paris_fashion_shopping,Fashion & Shopping Paris,Paris,France,"[""fashion"", ""shopping"", ""luxury""]","[""fashion_lovers"", ""couples"", ""friends""]",high,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Fashion capital tour: Champs-Élysées luxury, Galeries Lafayette, vintage Marais shopping, and fashion museums"
paris_fontainebleau_trip,Fontainebleau & Vaux-le-Vicomte,Paris,France,"[""day_trip"", ""castles"", ""countryside""]","[""couples"", ""families"", ""history_buffs""]",high,moderate,10,"[""spring"", ""summer"", ""fall""]",false,"Royal countryside: Château de Fontainebleau, magnificent Vaux-le-Vicomte castle, and beautiful French countryside"
london_tower_deep_dive,Tower of London Deep Dive,London,United Kingdom,"[""history"", ""royalty"", ""medieval""]","[""families"", ""history_buffs"", ""couples""]",high,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Complete Tower experience: Crown Jewels, Beefeater tours, Tower Bridge, and medieval London stories"
london_westminster_political,Westminster Political Power,London,United Kingdom,"[""politics"", ""history"", ""power""]","[""couples"", ""solo"", ""students""]",high,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Political heart of London: Houses of Parliament, Big Ben area, Westminster Abbey, Churchill War Rooms"
london_royal_parks,Royal Parks & Palaces,London,United Kingdom,"[""royalty"", ""parks"", ""ceremonies""]","[""families"", ""couples"", ""solo""]",medium,easy,8,"[""spring"", ""summer"", ""fall""]",true,"Royal London: Buckingham Palace, Hyde Park, Kensington Palace, St. James's Park, Changing of the Guard"
london_churches_cathedrals,London Churches & Cathedrals,London,United Kingdom,"[""spirituality"", ""architecture"", ""views""]","[""couples"", ""families"", ""solo""]",medium,moderate,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Sacred London: St. Paul's Cathedral dome climb, Westminster Abbey, Temple Church, Southwark Cathedral"
london_historic_city,Historic City of London,London,United Kingdom,"[""finance"", ""ancient"", ""hidden_history""]","[""solo"", ""couples"", ""business_travelers""]",low,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Financial heart exploration: Bank of England Museum, Guildhall, Leadenhall Market, Roman London ruins"
london_british_museum,British Museum Masterpieces,London,United Kingdom,"[""world_history"", ""artifacts"", ""education""]","[""families"", ""students"", ""solo""]",free,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"World treasures: Egyptian mummies, Rosetta Stone, Greek sculptures, and British history artifacts"
london_tate_bankside,Tate Modern & Bankside,London,United Kingdom,"[""modern_art"", ""shakespeare"", ""food""]","[""art_lovers"", ""couples"", ""friends""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Cultural Bankside: Tate Modern contemporary art, Shakespeare's Globe, Borough Market, Millennium Bridge"
london_south_kensington,South Kensington Museums,London,United Kingdom,"[""science"", ""natural_history"", ""design""]","[""families"", ""students"", ""solo""]",free,easy,9,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Museum district: Victoria & Albert Museum, Natural History Museum, Science Museum, Royal Albert Hall area"
london_national_covent,National Gallery & Covent Garden,London,United Kingdom,"[""classical_art"", ""entertainment"", ""street_performance""]","[""couples"", ""families"", ""friends""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Art & entertainment: National Gallery masterpieces, Trafalgar Square, Covent Garden performers, West End theatre"
london_alternative_art,Alternative London Art,London,United Kingdom,"[""british_art"", ""alternative"", ""contemporary""]","[""art_lovers"", ""young_travelers"", ""solo""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Alternative art scene: Tate Britain, Wallace Collection, Courtauld Gallery, Shoreditch street art"
london_camden_regents,Camden & Regent's Park,London,United Kingdom,"[""alternative"", ""markets"", ""music""]","[""young_travelers"", ""families"", ""friends""]",medium,easy,7,"[""spring"", ""summer"", ""fall""]",true,"Alternative London: Camden Market, Regent's Park & Zoo, Primrose Hill views, music venues"
london_notting_portobello,Notting Hill & Portobello,London,United Kingdom,"[""markets"", ""books"", ""canals""]","[""couples"", ""families"", ""solo""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Charming London: Portobello Road Market, Notting Hill bookshops, Little Venice canals, Hyde Park west"
london_east_hipster,East London Hipster Tour,London,United Kingdom,"[""hipster"", ""street_art"", ""curry""]","[""young_travelers"", ""friends"", ""food_lovers""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Trendy East London: Shoreditch street art, Brick Lane curry houses, Spitalfields Market, alternative venues"
london_greenwich_trip,Greenwich Day Trip,London,United Kingdom,"[""maritime"", ""science"", ""day_trip""]","[""families"", ""couples"", ""solo""]",medium,easy,8,"[""spring"", ""summer"", ""fall""]",true,"Maritime Greenwich: Royal Observatory, Cutty Sark ship, Greenwich Park, Prime Meridian, Maritime Museum"
london_harry_potter,Harry Potter London,London,United Kingdom,"[""harry_potter"", ""fantasy"", ""family""]","[""families"", ""fans"", ""friends""]",high,easy,10,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Magical London: Warner Bros. Studio Tour, Platform 9¾, filming locations, Harry Potter shops"
london_thames_river,London by Thames,London,United Kingdom,"[""river"", ""views"", ""relaxed""]","[""couples"", ""families"", ""solo""]",medium,easy,6,"[""spring"", ""summer"", ""fall""]",true,"River experience: Thames cruise, Greenwich to Westminster, London Eye, historic riverside pubs"
london_quirky_hidden,Quirky London Hidden Gems,London,United Kingdom,"[""quirky"", ""hidden_gems"", ""unusual""]","[""curious_travelers"", ""couples"", ""solo""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Secret London: Dennis Severs' House, Sir John Soane's Museum, Leighton House, hidden locations"
london_food_scene,London Food Scene,London,United Kingdom,"[""food"", ""traditional"", ""multicultural""]","[""food_lovers"", ""couples"", ""friends""]",high,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Culinary London: Borough Market tour, traditional pubs, Brick Lane curry, proper afternoon tea"
london_windsor_trip,Windsor Castle Day Trip,London,United Kingdom,"[""royalty"", ""day_trip"", ""castles""]","[""couples"", ""families"", ""history_buffs""]",high,easy,9,"[""spring"", ""summer"", ""fall""]",false,"Royal Windsor: Windsor Castle tour, Royal Windsor town, Eton College area, Thames-side Windsor"
tokyo_classic_temples,Classic Tokyo Temples,Tokyo,Japan,"[""temples"", ""tradition"", ""spirituality""]","[""couples"", ""families"", ""solo""]",low,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Sacred Tokyo: Senso-ji Temple Asakusa, Meiji Shrine, Zojo-ji Temple, traditional shopping streets"
tokyo_imperial_district,Imperial Tokyo,Tokyo,Japan,"[""imperial"", ""history"", ""luxury""]","[""couples"", ""families"", ""history_buffs""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Imperial elegance: East Gardens, Tokyo Station historic area, upscale Ginza district, traditional crafts"
tokyo_sumo_traditional,Sumo & Traditional Sports,Tokyo,Japan,"[""sumo"", ""traditional_sports"", ""culture""]","[""couples"", ""friends"", ""culture_enthusiasts""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Traditional sports: Sumo training viewing, Sumo museum, traditional sports venues, Chanko nabe dining"
tokyo_tea_gardens,Tea Ceremony & Gardens,Tokyo,Japan,"[""tea_ceremony"", ""gardens"", ""zen""]","[""couples"", ""solo"", ""wellness_seekers""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Zen Tokyo: Traditional tea ceremony, Hamarikyu Gardens, Shinjuku Gyoen, meditation experience"
tokyo_artisan_crafts,Artisan Tokyo,Tokyo,Japan,"[""crafts"", ""hands_on"", ""artisans""]","[""couples"", ""families"", ""creative_types""]",high,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Traditional arts: Craft workshops, pottery making, calligraphy classes, local artisan visits"
tokyo_youth_culture,Shibuya & Harajuku Youth Culture,Tokyo,Japan,"[""youth_culture"", ""fashion"", ""modern""]","[""young_travelers"", ""friends"", ""fashion_lovers""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Youth Tokyo: Shibuya Crossing, Harajuku fashion, Takeshita Street, pop culture exploration"
tokyo_otaku_akihabara,Otaku Paradise Akihabara,Tokyo,Japan,"[""anime"", ""gaming"", ""otaku""]","[""anime_fans"", ""gamers"", ""young_travelers""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Otaku heaven: Electronics district, anime & manga shops, maid cafes, gaming centers"
tokyo_skyscrapers_views,Tokyo Skyscrapers & Views,Tokyo,Japan,"[""views"", ""modern_architecture"", ""night_views""]","[""couples"", ""friends"", ""photography_lovers""]",high,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Sky-high Tokyo: Tokyo Skytree, Tokyo Tower, Government Observatory, rooftop bars with city views"
tokyo_tech_future,Tech & Future Tokyo,Tokyo,Japan,"[""technology"", ""digital_art"", ""future""]","[""tech_enthusiasts"", ""couples"", ""friends""]",high,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Future Tokyo: TeamLab digital art, Robot restaurant, technology museums, cutting-edge districts"
tokyo_nightlife_experience,Tokyo Nightlife,Tokyo,Japan,"[""nightlife"", ""bars"", ""karaoke""]","[""friends"", ""couples"", ""party_lovers""]",high,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Tokyo nights: Shinjuku Golden Gai bars, Kabukicho entertainment, karaoke experience, late-night ramen"
