day_id,name,city,country,theme,ideal_for,budget_level,difficulty_level,duration_hours,season_best,weather_dependent,description
tokyo_fish_market,Tsukiji & Fish Market Culture,Tokyo,Japan,"[""fish_market"", ""sushi"", ""food_culture""]","[""food_lovers"", ""couples"", ""early_risers""]",high,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Fish market culture: Tsukiji Outer Market, fresh sushi breakfast, market tours, cooking classes"
tokyo_ramen_noodles,Ramen & Noodle Tour,Tokyo,Japan,"[""ramen"", ""noodles"", ""local_food""]","[""food_lovers"", ""couples"", ""friends""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Noodle paradise: Different ramen styles, udon experiences, noodle museums, local ramen alleys"
tokyo_izakaya_sake,Izakaya & Sake Culture,Tokyo,Japan,"[""izakaya"", ""sake"", ""drinking_culture""]","[""adults"", ""couples"", ""friends""]",high,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Drinking culture: Traditional izakaya hopping, sake tasting, Japanese pub culture, local customs"
tokyo_sweet_culture,Sweet Tokyo,Tokyo,Japan,"[""sweets"", ""desserts"", ""kawaii""]","[""sweet_lovers"", ""families"", ""couples""]",medium,easy,5,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Sweet Tokyo: Traditional wagashi sweets, modern patisseries, unique Kit-Kat flavors, dessert culture"
tokyo_mount_fuji,Mount Fuji Day Trip,Tokyo,Japan,"[""mount_fuji"", ""nature"", ""day_trip""]","[""couples"", ""families"", ""nature_lovers""]",high,challenging,12,"[""spring"", ""summer"", ""fall""]",true,"Iconic mountain: Mount Fuji 5th Station, Lake Kawaguchi, Hakone hot springs, traditional ryokan lunch"
tokyo_kamakura_historic,Kamakura Historic Day Trip,Tokyo,Japan,"[""day_trip"", ""history"", ""temples""]","[""couples"", ""families"", ""history_buffs""]",medium,moderate,10,"[""spring"", ""summer"", ""fall""]",true,"Historic escape: Great Buddha statue, bamboo forests, ancient temples, charming seaside town"
tokyo_disneysea,Tokyo DisneySea,Tokyo,Japan,"[""disney"", ""theme_park"", ""family""]","[""families"", ""disney_fans"", ""couples""]",high,moderate,12,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Unique Disney: Japanese Disney experience, themed attractions, full park adventure"
tokyo_ueno_cultural,Ueno Cultural District,Tokyo,Japan,"[""museums"", ""culture"", ""parks""]","[""families"", ""couples"", ""culture_lovers""]",medium,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Cultural hub: Tokyo National Museum, Ueno Zoo, Ueno Park cherry blossoms, multiple museums"
tokyo_bay_odaiba,Tokyo Bay & Odaiba,Tokyo,Japan,"[""technology"", ""artificial_island"", ""views""]","[""couples"", ""families"", ""tech_lovers""]",high,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Future island: Odaiba artificial island, TeamLab Borderless, Tokyo Bay views, technology displays"
nice_promenade_classic,Promenade des Anglais Classic,Nice,France,"[""beaches"", ""luxury"", ""art_deco""]","[""couples"", ""luxury_travelers"", ""families""]",high,easy,7,"[""spring"", ""summer"", ""fall""]",true,"Riviera glamour: Full promenade walk, exclusive beach clubs, Art Deco architecture, sunset aperitifs"
nice_old_town_vieux,Old Town Nice (Vieux Nice),Nice,France,"[""old_town"", ""markets"", ""local_culture""]","[""couples"", ""families"", ""solo""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Authentic Nice: Colorful buildings, Cours Saleya market, Baroque churches, artisan shops, Niçoise cuisine"
nice_castle_hill,Castle Hill (Colline du Château),Nice,France,"[""views"", ""nature"", ""photography""]","[""couples"", ""families"", ""photographers""]",free,moderate,4,"[""spring"", ""summer"", ""fall""]",true,"Panoramic Nice: Breathtaking views, hidden waterfall, historic ruins, peaceful gardens"
nice_russian_heritage,Russian Orthodox Heritage,Nice,France,"[""russian_heritage"", ""architecture"", ""culture""]","[""couples"", ""solo"", ""culture_enthusiasts""]",low,easy,5,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Russian Nice: St. Nicholas Cathedral, Russian Quarter, Belle Époque villas, cultural heritage"
nice_art_museums,Art Museums of Nice,Nice,France,"[""art"", ""museums"", ""famous_artists""]","[""art_lovers"", ""couples"", ""solo""]",medium,easy,8,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Artistic Nice: Musée Matisse, Musée Chagall, Modern Art Museum, artist studios"
nice_monaco_monte_carlo,Monaco & Monte Carlo,Nice,France,"[""luxury"", ""gambling"", ""royalty""]","[""luxury_travelers"", ""couples"", ""adults""]",high,easy,9,"[""spring"", ""summer"", ""fall""]",false,"Ultimate luxury: Monte Carlo Casino, Prince's Palace, Grand Prix track, luxury yacht harbor"
nice_cannes_film,Cannes & Film Festival Glamour,Nice,France,"[""film"", ""glamour"", ""beaches""]","[""couples"", ""film_lovers"", ""luxury_travelers""]",high,easy,8,"[""spring"", ""summer"", ""fall""]",false,"Film capital: Croisette boulevard, festival sites, luxury boutiques, exclusive beach clubs"
nice_antibes_picasso,Antibes & Picasso,Nice,France,"[""art"", ""picasso"", ""coastal""]","[""art_lovers"", ""couples"", ""culture_enthusiasts""]",medium,easy,8,"[""spring"", ""summer"", ""fall""]",false,"Artistic coast: Picasso Museum, charming old town, Cap d'Antibes walks, luxury yacht spotting"
nice_saint_paul_village,Saint-Paul-de-Vence Artists Village,Nice,France,"[""art_village"", ""medieval"", ""galleries""]","[""art_lovers"", ""couples"", ""culture_enthusiasts""]",medium,easy,7,"[""spring"", ""summer"", ""fall""]",false,"Medieval art village: Hilltop village, art galleries, Fondation Maeght, working artist studios"
nice_grasse_perfume,Perfume Route: Grasse,Nice,France,"[""perfume"", ""workshops"", ""lavender""]","[""couples"", ""families"", ""scent_lovers""]",high,easy,9,"[""spring"", ""summer"", ""fall""]",false,"Perfume capital: Factory tours, fragrance workshops, lavender fields, traditional perfumery"
nice_beach_hopping,French Riviera Beach Hopping,Nice,France,"[""beaches"", ""water_sports"", ""coastal""]","[""couples"", ""families"", ""beach_lovers""]",medium,easy,8,"[""summer""]",true,"Beach paradise: Different beach styles, exclusive vs public, water sports, coastal walks"
nice_coastal_hiking,Coastal Hiking & Nature,Nice,France,"[""hiking"", ""nature"", ""coastal_walks""]","[""active_travelers"", ""couples"", ""nature_lovers""]",low,challenging,7,"[""spring"", ""summer"", ""fall""]",true,"Natural Riviera: Sentier du Littoral path, Cap Ferrat peninsula, natural parks, wildlife"
nice_iles_lerins,Boat Trip to Îles de Lérins,Nice,France,"[""islands"", ""monasteries"", ""pristine_nature""]","[""couples"", ""families"", ""nature_lovers""]",medium,easy,9,"[""spring"", ""summer"", ""fall""]",true,"Island escape: Ferry to islands, monastery visits, pristine beaches, island hiking"
nice_riviera_markets,French Riviera Markets,Nice,France,"[""markets"", ""local_products"", ""flowers""]","[""couples"", ""families"", ""local_culture_lovers""]",medium,easy,6,"[""spring"", ""summer"", ""fall""]",false,"Market culture: Cours Saleya flowers, local food markets, antiques, Provençal products"
nice_nicoise_cuisine,Niçoise Cuisine Deep Dive,Nice,France,"[""cuisine"", ""cooking"", ""wine""]","[""food_lovers"", ""couples"", ""culinary_enthusiasts""]",high,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Culinary Nice: Traditional dishes, cooking classes, restaurant tours, regional wine tasting"
nice_belle_epoque,Belle Époque Nice,Nice,France,"[""belle_epoque"", ""architecture"", ""history""]","[""couples"", ""history_buffs"", ""architecture_lovers""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Historic elegance: Villa tours, architecture walks, historical museums, elegant gardens"
nice_gardens_parks,Nice Gardens & Parks,Nice,France,"[""gardens"", ""botanical"", ""family""]","[""families"", ""couples"", ""nature_lovers""]",low,easy,6,"[""spring"", ""summer"", ""fall""]",true,"Green Nice: Phoenix Park & Zoo, botanical gardens, villa gardens, Mediterranean plants"
nice_nightlife_entertainment,Nice Nightlife & Entertainment,Nice,France,"[""nightlife"", ""entertainment"", ""casinos""]","[""couples"", ""friends"", ""party_lovers""]",high,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Riviera nights: Rooftop bars, beach club evenings, live music venues, casino visits"
nice_wellness_spa,Wellness & Spa Nice,Nice,France,"[""wellness"", ""spa"", ""relaxation""]","[""couples"", ""wellness_seekers"", ""luxury_travelers""]",high,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Wellness Riviera: Luxury spa treatments, thermal baths, wellness centers, beach relaxation"
marseille_old_port_deep,Old Port (Vieux-Port) Deep Dive,Marseille,France,"[""maritime"", ""history"", ""fish_market""]","[""couples"", ""families"", ""history_buffs""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Historic port: Morning fish market, port history, traditional boat rides, waterfront restaurants"
marseille_notre_dame_garde,Notre-Dame de la Garde,Marseille,France,"[""religious"", ""views"", ""sunset""]","[""couples"", ""families"", ""photographers""]",low,moderate,5,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Sacred heights: Stunning basilica, panoramic city views, religious art & history, sunset viewing"
marseille_le_panier,Le Panier Historic Quarter,Marseille,France,"[""street_art"", ""artisans"", ""historic_quarter""]","[""couples"", ""solo"", ""art_lovers""]",low,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Artistic quarter: Street art discovery, artisan workshops, historic architecture, local cafes"
marseille_chateau_if,Château d'If & Islands,Marseille,France,"[""islands"", ""history"", ""literature""]","[""couples"", ""families"", ""literature_lovers""]",medium,easy,8,"[""spring"", ""summer"", ""fall""]",true,"Literary island: Ferry to Château d'If, Count of Monte Cristo history, island prison tour, Frioul Islands"
marseille_abbey_saint_victor,Abbey of Saint-Victor,Marseille,France,"[""ancient"", ""religious"", ""crypts""]","[""couples"", ""history_buffs"", ""solo""]",low,easy,4,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Ancient spirituality: 5th-century crypts, religious heritage, ancient artifacts, spiritual atmosphere"
marseille_mucem_modern,MuCEM & Modern Culture,Marseille,France,"[""modern_culture"", ""mediterranean"", ""architecture""]","[""couples"", ""families"", ""culture_lovers""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Mediterranean culture: European & Mediterranean Civilizations museum, modern architecture, cultural exhibitions"
marseille_markets_noailles,Marseille Markets,Marseille,France,"[""markets"", ""north_african"", ""spices""]","[""couples"", ""families"", ""food_lovers""]",low,easy,5,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Cultural markets: Noailles district, North African influences, spice markets, local food discoveries"
marseille_art_galleries,Art & Galleries Marseille,Marseille,France,"[""contemporary_art"", ""galleries"", ""local_artists""]","[""art_lovers"", ""couples"", ""solo""]",medium,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Contemporary scene: Art centers, local galleries, street art tours, working artist studios"
marseille_multicultural,Multicultural Marseille,Marseille,France,"[""multicultural"", ""diversity"", ""world_cuisine""]","[""couples"", ""friends"", ""culture_enthusiasts""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Cultural diversity: North African quarter, international communities, world cuisine tour, cultural exploration"
marseille_calanques_park,Calanques National Park,Marseille,France,"[""nature"", ""hiking"", ""coastal_cliffs""]","[""active_travelers"", ""nature_lovers"", ""hikers""]",low,challenging,9,"[""spring"", ""summer"", ""fall""]",true,"Natural wonder: Dramatic coastal cliffs, hiking trails, crystal-clear waters, protected marine environment"
marseille_cassis_trip,Cassis Day Trip,Marseille,France,"[""fishing_village"", ""boat_trips"", ""wine""]","[""couples"", ""families"", ""wine_lovers""]",high,easy,10,"[""spring"", ""summer"", ""fall""]",true,"Picturesque escape: Charming fishing village, Calanques boat trip, local wine tasting, scenic drives"
marseille_corniche_kennedy,Corniche Kennedy Coastal Drive,Marseille,France,"[""coastal_drive"", ""beaches"", ""scenic""]","[""couples"", ""families"", ""drivers""]",medium,easy,6,"[""spring"", ""summer"", ""fall""]",true,"Scenic coast: Beautiful coastal road, beach stops, coastal restaurants, swimming opportunities"
marseille_aix_provence,Aix-en-Provence Day Trip,Marseille,France,"[""day_trip"", ""cezanne"", ""university_town""]","[""couples"", ""art_lovers"", ""culture_enthusiasts""]",medium,easy,9,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Elegant Provence: University town, Cézanne's studios, beautiful fountains & markets, Provençal culture"
marseille_beach_day,Marseille Beach Day,Marseille,France,"[""beaches"", ""water_sports"", ""relaxation""]","[""couples"", ""families"", ""beach_lovers""]",medium,easy,7,"[""summer""]",true,"Mediterranean beaches: Prado beaches, beach sports, waterfront dining, crystal-clear swimming"
marseille_bouillabaisse_seafood,Bouillabaisse & Seafood,Marseille,France,"[""bouillabaisse"", ""seafood"", ""cooking""]","[""food_lovers"", ""couples"", ""culinary_enthusiasts""]",high,easy,7,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Seafood capital: Traditional bouillabaisse experience, fish restaurants, seafood market tours, cooking classes"
marseille_football_culture,Marseille Football Culture,Marseille,France,"[""football"", ""sports_culture"", ""local_passion""]","[""sports_fans"", ""friends"", ""local_culture_lovers""]",medium,easy,5,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Football passion: Olympique de Marseille stadium, football culture tour, fan experiences, sports history"
marseille_soap_crafts,Soap & Crafts Tradition,Marseille,France,"[""soap_making"", ""crafts"", ""traditional""]","[""couples"", ""families"", ""craft_lovers""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Traditional crafts: Marseille soap factory tours, craft workshops, local artisan visits, handmade shopping"
marseille_nightlife_bars,Marseille Nightlife,Marseille,France,"[""nightlife"", ""live_music"", ""terraces""]","[""couples"", ""friends"", ""party_lovers""]",medium,easy,6,"[""spring"", ""summer"", ""fall"", ""winter""]",false,"Mediterranean nights: Cours Julien bars, live music venues, rooftop terraces, local nightlife"
marseille_provence_wine,Provence Wine Route,Marseille,France,"[""wine"", ""vineyards"", ""provence""]","[""wine_lovers"", ""couples"", ""adults""]",high,easy,9,"[""spring"", ""summer"", ""fall""]",false,"Wine country: Regional vineyard visits, wine tasting tours, château visits, famous Provençal rosé"